,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
defFT[20],-0.0029,0.0766,0.0014,0.0052,-0.1512,-0.0508,-0.0028,0.0410,0.1647,,,,,,,,,,,
defFT[21],-0.0088,0.0734,0.0013,0.0047,-0.1548,-0.0540,-0.0063,0.0368,0.1349,,,,,,,,,,,
defFT[22],-0.0225,0.0725,0.0013,0.0045,-0.1771,-0.0680,-0.0177,0.0250,0.1227,,,,,,,,,,,
defFT[23],-0.0138,0.0679,0.0012,0.0040,-0.1481,-0.0582,-0.0135,0.0300,0.1242,,,,,,,,,,,
defFT[24],0.0102,0.0687,0.0013,0.0042,-0.1272,-0.0335,0.0093,0.0529,0.1444,,,,,,,,,,,
defFT[25],-0.0182,0.0690,0.0013,0.0039,-0.1559,-0.0626,-0.0180,0.0273,0.1213,,,,,,,,,,,
defFT[26],0.0293,0.0665,0.0012,0.0040,-0.1027,-0.0123,0.0287,0.0715,0.1638,,,,,,,,,,,
defFT[27],-0.0493,0.0695,0.0013,0.0039,-0.1995,-0.0928,-0.0457,-0.0049,0.0773,,,,,,,,,,,
defFT[28],0.0010,0.0807,0.0015,0.0021,-0.1610,-0.0500,0.0009,0.0508,0.1671,,,,,,,,,,,
defFT[29],0.0093,0.0707,0.0013,0.0044,-0.1221,-0.0389,0.0053,0.0538,0.1567,,,,,,,,,,,
defFT[30],-0.0059,0.0703,0.0013,0.0045,-0.1635,-0.0479,-0.0025,0.0402,0.1302,,,,,,,,,,,
homeFT,0.0463,0.0548,0.0010,0.0090,-0.0575,0.0097,0.0434,0.0822,0.1572,,,,,,,,,,,
cFT,2.9000,0.0367,0.0007,0.0054,2.8288,2.8759,2.8998,2.9250,2.9701,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
att2PT[1],-0.6097,2.7124,0.0495,0.9646,-8.2269,-1.8571,-0.0319,0.1138,5.1487,,,,,,,,,,,
att2PT[2],-0.0544,0.1364,0.0025,0.0191,-0.3550,-0.1358,-0.0378,0.0378,0.1833,,,,,,,,,,,
att2PT[3],-3.6815,4.7564,0.0868,0.7482,-13.8578,-8.6467,-0.1680,0.0153,1.1333,,,,,,,,,,,
att2PT[4],0.0333,0.1321,0.0024,0.0188,-0.2077,-0.0522,0.0184,0.1006,0.3568,,,,,,,,,,,
att2PT[5],-0.0705,0.1225,0.0022,0.0143,-0.3314,-0.1452,-0.0556,0.0141,0.1365,,,,,,,,,,,
att2PT[6],-2.0078,3.6981,0.0675,1.4341,-13.5129,-2.8563,-0.1334,0.0308,2.8598,,,,,,,,,,,
att2PT[7],-1.9229,3.0118,0.0550,0.5425,-8.0356,-4.6124,-0.0898,0.0369,1.9713,,,,,,,,,,,
att2PT[8],-0.0128,0.1153,0.0021,0.0151,-0.2688,-0.0766,-0.0047,0.0551,0.2052,,,,,,,,,,,
att2PT[9],0.0244,0.1492,0.0027,0.0202,-0.3387,-0.0547,0.0284,0.1053,0.3312,,,,,,,,,,,
att2PT[10],-0.0947,0.1423,0.0026,0.0197,-0.4086,-0.1861,-0.0671,0.0030,0.1549,,,,,,,,,,,
att2PT[11],0.0005,0.1264,0.0023,0.0182,-0.2746,-0.0693,0.0112,0.0783,0.2438,,,,,,,,,,,
att2PT[12],-0.0739,0.1362,0.0025,0.0209,-0.4036,-0.1531,-0.0505,0.0214,0.1411,,,,,,,,,,,
att2PT[13],0.0804,0.1339,0.0024,0.0190,-0.1415,-0.0078,0.0597,0.1497,0.4001,,,,,,,,,,,
att2PT[14],-0.0687,0.1555,0.0028,0.0206,-0.3879,-0.1586,-0.0520,0.0295,0.2231,,,,,,,,,,,
att2PT[15],-0.0368,0.1359,0.0025,0.0187,-0.3332,-0.1127,-0.0261,0.0449,0.2376,,,,,,,,,,,
att2PT[16],-0.0466,0.1388,0.0025,0.0187,-0.3635,-0.1191,-0.0270,0.0484,0.1841,,,,,,,,,,,
att2PT[17],-0.0705,0.1339,0.0024,0.0209,-0.3621,-0.1559,-0.0463,0.0226,0.1513,,,,,,,,,,,
att2PT[18],-0.0815,0.1522,0.0028,0.0223,-0.4218,-0.1692,-0.0572,0.0192,0.1827,,,,,,,,,,,
att2PT[19],2.8189,3.9504,0.0721,1.7399,-3.9892,-0.0212,0.1539,6.1635,10.2525,,,,,,,,,,,
att2PT[20],-0.0627,0.1385,0.0025,0.0198,-0.3318,-0.1585,-0.0497,0.0314,0.2050,,,,,,,,,,,
att2PT[21],0.0465,0.1362,0.0025,0.0232,-0.2107,-0.0337,0.0408,0.1243,0.3418,,,,,,,,,,,
att2PT[22],-0.1508,0.1434,0.0026,0.0193,-0.4625,-0.2537,-0.1362,-0.0415,0.0827,,,,,,,,,,,
att2PT[23],0.0231,0.1197,0.0022,0.0172,-0.2040,-0.0462,0.0128,0.0942,0.2667,,,,,,,,,,,
att2PT[24],3.5186,4.2971,0.0785,1.2938,-1.5015,-0.0056,2.0863,6.2128,14.1910,,,,,,,,,,,
att2PT[25],-0.0186,0.1406,0.0026,0.0236,-0.2939,-0.1048,-0.0179,0.0602,0.2795,,,,,,,,,,,
att2PT[26],2.6048,4.5146,0.0824,0.9935,-3.1963,-0.0530,0.0697,5.3274,12.9105,,,,,,,,,,,
att2PT[27],-0.0508,0.1312,0.0024,0.0173,-0.3869,-0.1181,-0.0348,0.0258,0.2080,,,,,,,,,,,
att2PT[28],-0.0101,0.1474,0.0027,0.0238,-0.3500,-0.0817,0.0026,0.0763,0.2549,,,,,,,,,,,
att2PT[29],0.0131,0.1290,0.0024,0.0192,-0.2537,-0.0645,0.0059,0.0893,0.2895,,,,,,,,,,,
att2PT[30],-0.0382,0.1254,0.0023,0.0163,-0.3046,-0.1152,-0.0273,0.0414,0.2117,,,,,,,,,,,
def2PT[1],0.0039,0.0707,0.0013,0.0051,-0.1275,-0.0437,0.0026,0.0512,0.1425,,,,,,,,,,,
def2PT[2],-0.0137,0.0668,0.0012,0.0051,-0.1504,-0.0560,-0.0123,0.0270,0.1168,,,,,,,,,,,
def2PT[3],-0.0086,0.0659,0.0012,0.0048,-0.1487,-0.0495,-0.0078,0.0319,0.1236,,,,,,,,,,,
def2PT[4],0.0191,0.0617,0.0011,0.0044,-0.1014,-0.0207,0.0179,0.0601,0.1425,,,,,,,,,,,
